<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 3468832465
120000	mean = 44488.9	max = 129284
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.1%)
	512	99.7%	(2.7%)
	1024	97%	(13.9%)
	2048	83.1%	(44.2%)
	4096	38.9%	(37.6%)
	8192	1.3%	(1.3%)
121000	mean = 43316.4	max = 125120
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(3.6%)
	1024	95.8%	(14.9%)
	2048	80.9%	(43.7%)
	4096	37.2%	(36%)
	8192	1.2%	(1.2%)
122000	mean = 43345.3	max = 124004
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.2%)
	256	99.6%	(0.4%)
	512	99.2%	(3.6%)
	1024	95.6%	(13.9%)
	2048	81.7%	(44.1%)
	4096	37.6%	(36.7%)
	8192	0.9%	(0.9%)
123000	mean = 44733.9	max = 129768
	128	100%	(0.1%)
	256	99.9%	(0.8%)
	512	99.1%	(3.2%)
	1024	95.9%	(13.8%)
	2048	82.1%	(40.8%)
	4096	41.3%	(40%)
	8192	1.3%	(1.3%)
124000	mean = 45732.4	max = 128164
	64	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.9%)
	1024	97.8%	(11.9%)
	2048	85.9%	(43.7%)
	4096	42.2%	(40.9%)
	8192	1.3%	(1.3%)
125000	mean = 43821.4	max = 125396
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.5%)
	512	99.1%	(2.8%)
	1024	96.3%	(13%)
	2048	83.3%	(44.8%)
	4096	38.5%	(37.1%)
	8192	1.4%	(1.4%)
126000	mean = 45270	max = 133412
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.3%)
	256	99.5%	(0.4%)
	512	99.1%	(2.3%)
	1024	96.8%	(13.3%)
	2048	83.5%	(42.7%)
	4096	40.8%	(39%)
	8192	1.8%	(1.8%)
127000	mean = 43986.1	max = 128932
	64	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(4.1%)
	1024	95.2%	(15.5%)
	2048	79.7%	(40.3%)
	4096	39.4%	(37.9%)
	8192	1.5%	(1.5%)
128000	mean = 45332	max = 133000
	128	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(3.3%)
	1024	95.9%	(13.2%)
	2048	82.7%	(42.7%)
	4096	40%	(38.1%)
	8192	1.9%	(1.9%)
129000	mean = 45345.3	max = 132252
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.7%)
	512	99.1%	(3.1%)
	1024	96%	(13.2%)
	2048	82.8%	(42.4%)
	4096	40.4%	(38.7%)
	8192	1.7%	(1.7%)
130000	mean = 44691.9	max = 132408
	256	100%	(0.4%)
	512	99.6%	(3.1%)
	1024	96.5%	(13.6%)
	2048	82.9%	(43.5%)
	4096	39.4%	(37.4%)
	8192	2%	(2%)
131000	mean = 46886.4	max = 127848
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2.2%)
	1024	97.4%	(10.1%)
	2048	87.3%	(44.5%)
	4096	42.8%	(41.3%)
	8192	1.5%	(1.5%)
132000	mean = 46683.9	max = 123152
	256	100%	(0.3%)
	512	99.7%	(2.6%)
	1024	97.1%	(12.4%)
	2048	84.7%	(42%)
	4096	42.7%	(40%)
	8192	2.7%	(2.7%)
133000	mean = 45027.6	max = 124648
	256	100%	(0.7%)
	512	99.3%	(3.3%)
	1024	96%	(11%)
	2048	85%	(45%)
	4096	40%	(38.1%)
	8192	1.9%	(1.9%)
134000	mean = 46366.3	max = 132792
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.2%)
	512	99.5%	(2.8%)
	1024	96.7%	(11.3%)
	2048	85.4%	(42.3%)
	4096	43.1%	(41.6%)
	8192	1.5%	(1.5%)
135000	mean = 46069.3	max = 128552
	256	100%	(0.9%)
	512	99.1%	(3.8%)
	1024	95.3%	(12%)
	2048	83.3%	(41.6%)
	4096	41.7%	(39.7%)
	8192	2%	(2%)
136000	mean = 45690.3	max = 133216
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.7%)
	512	99.1%	(3.5%)
	1024	95.6%	(11.9%)
	2048	83.7%	(41.9%)
	4096	41.8%	(39.8%)
	8192	2%	(2%)
137000	mean = 46804.4	max = 128456
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.8%)
	512	98.9%	(3.2%)
	1024	95.7%	(10.4%)
	2048	85.3%	(41.1%)
	4096	44.2%	(42.4%)
	8192	1.8%	(1.8%)
138000	mean = 45807.4	max = 132948
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(3.3%)
	1024	96%	(12.9%)
	2048	83.1%	(40%)
	4096	43.1%	(40.8%)
	8192	2.3%	(2.3%)
139000	mean = 46242.2	max = 128400
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.1%)
	256	99.6%	(0.2%)
	512	99.4%	(3.7%)
	1024	95.7%	(13.4%)
	2048	82.3%	(38.3%)
	4096	44%	(42.2%)
	8192	1.8%	(1.8%)
140000	mean = 47674.7	max = 130996
	64	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(2%)
	1024	97.2%	(11.9%)
	2048	85.3%	(40.4%)
	4096	44.9%	(42.1%)
	8192	2.8%	(2.8%)
141000	mean = 45809.9	max = 125572
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(0.6%)
	512	98.9%	(3.1%)
	1024	95.8%	(12.4%)
	2048	83.4%	(41.4%)
	4096	42%	(39.8%)
	8192	2.2%	(2.2%)
142000	mean = 45955.4	max = 133248
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(3.4%)
	1024	95.9%	(13.1%)
	2048	82.8%	(40.6%)
	4096	42.2%	(39.6%)
	8192	2.6%	(2.6%)
143000	mean = 47753.6	max = 162352
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(2.5%)
	1024	96.7%	(12.6%)
	2048	84.1%	(41.6%)
	4096	42.5%	(39.1%)
	8192	3.4%	(3.4%)
144000	mean = 48144.4	max = 156912
	256	100%	(0.4%)
	512	99.6%	(3.5%)
	1024	96.1%	(11.8%)
	2048	84.3%	(39%)
	4096	45.3%	(42.7%)
	8192	2.6%	(2.6%)
145000	mean = 48040.7	max = 136212
	256	100%	(0.3%)
	512	99.7%	(3.2%)
	1024	96.5%	(11.7%)
	2048	84.8%	(39.7%)
	4096	45.1%	(41.7%)
	8192	3.4%	(3.4%)
146000	mean = 47530	max = 151128
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.3%)
	1024	97.1%	(13.4%)
	2048	83.7%	(41.1%)
	4096	42.6%	(39.2%)
	8192	3.4%	(3.4%)
147000	mean = 48110	max = 132880
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.6%)
	1024	96.8%	(10.9%)
	2048	85.9%	(40.5%)
	4096	45.4%	(43.1%)
	8192	2.3%	(2.3%)
148000	mean = 47768.4	max = 132200
	64	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(2.2%)
	1024	97%	(11%)
	2048	86%	(43.6%)
	4096	42.4%	(38.5%)
	8192	3.9%	(3.9%)
149000	mean = 48933.9	max = 152856
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.3%)
	1024	97.1%	(11.4%)
	2048	85.7%	(40.8%)
	4096	44.9%	(40.7%)
	8192	4.2%	(4.2%)
150000	mean = 47857.9	max = 132540
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.5%)
	512	99.1%	(1.6%)
	1024	97.5%	(12.1%)
	2048	85.4%	(41.6%)
	4096	43.8%	(40.8%)
	8192	3%	(3%)
151000	mean = 48734.1	max = 136176
	64	100%	(0.1%)
	256	99.9%	(0.8%)
	512	99.1%	(1.8%)
	1024	97.3%	(12.2%)
	2048	85.1%	(39.4%)
	4096	45.7%	(41.2%)
	8192	4.5%	(4.5%)
152000	mean = 50345.3	max = 140252
	256	100%	(0.6%)
	512	99.4%	(2.3%)
	1024	97.1%	(10.9%)
	2048	86.2%	(38.2%)
	4096	48%	(43.5%)
	8192	4.5%	(4.5%)
153000	mean = 48960.4	max = 149716
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(3.2%)
	1024	96.3%	(10%)
	2048	86.3%	(40.3%)
	4096	46%	(42.1%)
	8192	3.9%	(3.9%)
154000	mean = 48662.2	max = 140204
	256	100%	(0.3%)
	512	99.7%	(3.3%)
	1024	96.4%	(11.2%)
	2048	85.2%	(40%)
	4096	45.2%	(41.9%)
	8192	3.3%	(3.3%)
155000	mean = 48290.4	max = 129864
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(3.1%)
	1024	96.5%	(11.6%)
	2048	84.9%	(41.1%)
	4096	43.8%	(39.4%)
	8192	4.4%	(4.4%)
156000	mean = 48809.4	max = 137012
	64	100%	(0.3%)
	128	99.7%	(0.1%)
	256	99.6%	(0.6%)
	512	99%	(3.1%)
	1024	95.9%	(12.5%)
	2048	83.4%	(37.8%)
	4096	45.6%	(41.8%)
	8192	3.8%	(3.8%)
157000	mean = 50367.6	max = 155752
	64	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2.6%)
	1024	97%	(10.2%)
	2048	86.8%	(39%)
	4096	47.8%	(42.3%)
	8192	5.5%	(5.5%)
158000	mean = 49587.2	max = 133312
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.1%)
	1024	97.3%	(10.9%)
	2048	86.4%	(38.8%)
	4096	47.6%	(44.2%)
	8192	3.4%	(3.4%)
159000	mean = 49606.4	max = 156508
	64	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(2.8%)
	1024	96.5%	(10.9%)
	2048	85.6%	(40.5%)
	4096	45.1%	(40.6%)
	8192	4.5%	(4.5%)
160000	mean = 51168.3	max = 131168
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(2.6%)
	1024	97%	(11.6%)
	2048	85.4%	(36.1%)
	4096	49.3%	(44.3%)
	8192	5%	(5%)
161000	mean = 49407.3	max = 163776
	64	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(3.1%)
	1024	96.6%	(12.1%)
	2048	84.5%	(37.3%)
	4096	47.2%	(43.7%)
	8192	3.5%	(3.5%)
162000	mean = 50621.1	max = 150664
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.9%)
	1024	96.5%	(11.7%)
	2048	84.8%	(36.9%)
	4096	47.9%	(42.8%)
	8192	5.1%	(5.1%)
163000	mean = 48681.7	max = 133784
	128	100%	(0.1%)
	256	99.9%	(1%)
	512	98.9%	(2.6%)
	1024	96.3%	(12.7%)
	2048	83.6%	(36.8%)
	4096	46.8%	(43%)
	8192	3.8%	(3.8%)
164000	mean = 49877.1	max = 134796
	32	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(3%)
	1024	96.2%	(11.6%)
	2048	84.6%	(38%)
	4096	46.6%	(41.8%)
	8192	4.8%	(4.8%)
165000	mean = 49129.1	max = 166896
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(3.5%)
	1024	96.1%	(11.6%)
	2048	84.5%	(40%)
	4096	44.5%	(39%)
	8192	5.5%	(5.5%)
166000	mean = 51434.3	max = 143664
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.1%)
	512	99.6%	(2%)
	1024	97.6%	(10.6%)
	2048	87%	(37.9%)
	4096	49.1%	(43.8%)
	8192	5.3%	(5.3%)
167000	mean = 52334.6	max = 157144
	64	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(2.2%)
	1024	97.5%	(9.2%)
	2048	88.3%	(38.4%)
	4096	49.9%	(43.6%)
	8192	6.3%	(6.3%)
168000	mean = 50284.9	max = 134592
	256	100%	(0.5%)
	512	99.5%	(2.4%)
	1024	97.1%	(11.3%)
	2048	85.8%	(38.4%)
	4096	47.4%	(42.5%)
	8192	4.9%	(4.9%)
169000	mean = 52611.1	max = 141984
	256	100%	(0.1%)
	512	99.9%	(2.1%)
	1024	97.8%	(10.1%)
	2048	87.7%	(37.9%)
	4096	49.8%	(43.4%)
	8192	6.4%	(6.4%)
170000	mean = 50499.3	max = 151304
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.7%)
	512	98.9%	(2.3%)
	1024	96.6%	(11.3%)
	2048	85.3%	(38%)
	4096	47.3%	(41.9%)
	8192	5.4%	(5.4%)
171000	mean = 51637.5	max = 148340
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.1%)
	256	99.7%	(0.5%)
	512	99.2%	(2.3%)
	1024	96.9%	(8.5%)
	2048	88.4%	(39.6%)
	4096	48.8%	(42.8%)
	8192	6%	(6%)
172000	mean = 50329.9	max = 148148
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.6%)
	512	99.1%	(3.1%)
	1024	96%	(11.1%)
	2048	84.9%	(37.6%)
	4096	47.3%	(40.9%)
	8192	6.4%	(6.4%)
173000	mean = 51654.3	max = 157908
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.6%)
	512	99.2%	(2.2%)
	1024	97%	(9.9%)
	2048	87.1%	(39.9%)
	4096	47.2%	(40.4%)
	8192	6.8%	(6.8%)
174000	mean = 51421.8	max = 157508
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(3.3%)
	1024	96.3%	(10.2%)
	2048	86.1%	(37.6%)
	4096	48.5%	(42%)
	8192	6.5%	(6.5%)
175000	mean = 52149.4	max = 146132
	32	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(2.4%)
	1024	96.9%	(11.2%)
	2048	85.7%	(35%)
	4096	50.7%	(44.9%)
	8192	5.8%	(5.8%)
176000	mean = 52582.2	max = 168224
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(2.3%)
	1024	97%	(10.5%)
	2048	86.5%	(34.5%)
	4096	52%	(46.1%)
	8192	5.9%	(5.9%)
177000	mean = 53232	max = 144156
	256	100%	(0.5%)
	512	99.5%	(2.1%)
	1024	97.4%	(11.5%)
	2048	85.9%	(33.7%)
	4096	52.2%	(45.5%)
	8192	6.7%	(6.7%)
178000	mean = 51904	max = 154720
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(0.7%)
	512	98.8%	(2%)
	1024	96.8%	(10.8%)
	2048	86%	(34.8%)
	4096	51.2%	(45.6%)
	8192	5.6%	(5.6%)
179000	mean = 51209.1	max = 136572
	64	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(2.9%)
	1024	96.3%	(11.2%)
	2048	85.1%	(36.8%)
	4096	48.3%	(42.4%)
	8192	5.9%	(5.9%)
180000	mean = 52252.8	max = 156948
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(3.6%)
	1024	95.8%	(9.1%)
	2048	86.7%	(36.9%)
	4096	49.8%	(43.3%)
	8192	6.5%	(6.5%)
181000	mean = 53384.8	max = 156696
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.7%)
	1024	97.7%	(10.1%)
	2048	87.6%	(36%)
	4096	51.6%	(44.7%)
	8192	6.9%	(6.9%)
182000	mean = 51481.8	max = 168240
	128	100%	(0.2%)
	256	99.8%	(0.6%)
	512	99.2%	(2.4%)
	1024	96.8%	(10.6%)
	2048	86.2%	(38.8%)
	4096	47.4%	(41.3%)
	8192	6.1%	(6.1%)
183000	mean = 51009.3	max = 164904
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.7%)
	512	99.1%	(2.5%)
	1024	96.6%	(11.9%)
	2048	84.7%	(36.2%)
	4096	48.5%	(42.4%)
	8192	6.1%	(6.1%)
184000	mean = 53092	max = 157412
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(1.9%)
	1024	97.4%	(10.5%)
	2048	86.9%	(36%)
	4096	50.9%	(43.7%)
	8192	7.2%	(7.2%)
185000	mean = 51384.7	max = 156872
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(2.4%)
	1024	97.3%	(11.8%)
	2048	85.5%	(38.5%)
	4096	47%	(41.1%)
	8192	5.9%	(5.9%)
186000	mean = 53183.8	max = 147916
	128	100%	(0.1%)
	256	99.9%	(0.8%)
	512	99.1%	(1.4%)
	1024	97.7%	(9%)
	2048	88.7%	(37.5%)
	4096	51.2%	(44.7%)
	8192	6.5%	(6.5%)
187000	mean = 52572.1	max = 157952
	64	100%	(0.1%)
	256	99.9%	(1.1%)
	512	98.8%	(2.2%)
	1024	96.6%	(10%)
	2048	86.6%	(38.1%)
	4096	48.5%	(41%)
	8192	7.5%	(7.5%)
188000	mean = 52885.2	max = 141848
	256	100%	(0.2%)
	512	99.8%	(3.2%)
	1024	96.6%	(9.8%)
	2048	86.8%	(34.5%)
	4096	52.3%	(45.4%)
	8192	6.9%	(6.9%)
189000	mean = 52600.6	max = 154148
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.2%)
	256	99.5%	(0.6%)
	512	98.9%	(2.7%)
	1024	96.2%	(10%)
	2048	86.2%	(37.1%)
	4096	49.1%	(40.9%)
	8192	8.2%	(8.2%)
190000	mean = 51924.2	max = 166912
	256	100%	(0.2%)
	512	99.8%	(1.5%)
	1024	98.3%	(10.1%)
	2048	88.2%	(39.8%)
	4096	48.4%	(41.9%)
	8192	6.5%	(6.5%)
191000	mean = 52816.6	max = 157992
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.6%)
	512	99.2%	(3%)
	1024	96.2%	(9.5%)
	2048	86.7%	(37.8%)
	4096	48.9%	(41.2%)
	8192	7.7%	(7.7%)
192000	mean = 54310.7	max = 148572
	128	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(2.4%)
	1024	96.8%	(10.3%)
	2048	86.5%	(34.4%)
	4096	52.1%	(43.4%)
	8192	8.7%	(8.7%)
193000	mean = 51826.7	max = 154928
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(2.5%)
	1024	96.8%	(9.7%)
	2048	87.1%	(39.2%)
	4096	47.9%	(40.4%)
	8192	7.5%	(7.5%)
194000	mean = 53189.2	max = 149456
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.4%)
	1024	97%	(10.2%)
	2048	86.8%	(36.4%)
	4096	50.4%	(42.9%)
	8192	7.5%	(7.5%)
195000	mean = 52569.7	max = 168944
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.2%)
	512	99.4%	(2.6%)
	1024	96.8%	(9.9%)
	2048	86.9%	(37.4%)
	4096	49.5%	(42.6%)
	8192	6.9%	(6.9%)
196000	mean = 53881.6	max = 160172
	64	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(2.5%)
	1024	97%	(8.8%)
	2048	88.2%	(37.1%)
	4096	51.1%	(43.5%)
	8192	7.6%	(7.6%)
197000	mean = 53022.4	max = 155860
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.8%)
	1024	96.6%	(9.2%)
	2048	87.4%	(37%)
	4096	50.4%	(43.5%)
	8192	6.9%	(6.9%)
198000	mean = 52712.5	max = 171956
	128	100%	(0.1%)
	256	99.9%	(0.9%)
	512	99%	(1.4%)
	1024	97.6%	(9.9%)
	2048	87.7%	(36.9%)
	4096	50.8%	(43.4%)
	8192	7.4%	(7.4%)
199000	mean = 53599.5	max = 168384
	256	100%	(0.4%)
	512	99.6%	(2.4%)
	1024	97.2%	(9.3%)
	2048	87.9%	(36.6%)
	4096	51.3%	(43.4%)
	8192	7.9%	(7.9%)
200000	mean = 54226.6	max = 169904
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(2.7%)
	1024	97%	(7.9%)
	2048	89.1%	(37.8%)
	4096	51.3%	(42.9%)
	8192	8.4%	(8.4%)
201000	mean = 51224.9	max = 157864
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(1.6%)
	512	97.7%	(3.3%)
	1024	94.4%	(10.2%)
	2048	84.2%	(37.9%)
	4096	46.3%	(38.4%)
	8192	7.9%	(7.9%)
202000	mean = 51517	max = 132888
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(2.5%)
	1024	97%	(10.7%)
	2048	86.3%	(37.9%)
	4096	48.4%	(41%)
	8192	7.4%	(7.4%)
203000	mean = 52966.1	max = 156768
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.9%)
	1024	97.8%	(9.6%)
	2048	88.2%	(37.4%)
	4096	50.8%	(44.2%)
	8192	6.6%	(6.6%)
204000	mean = 54004.2	max = 168668
	128	100%	(0.5%)
	256	99.5%	(0.7%)
	512	98.8%	(2.5%)
	1024	96.3%	(10.5%)
	2048	85.8%	(34.4%)
	4096	51.4%	(42.2%)
	8192	9.2%	(9.2%)
205000	mean = 51541.9	max = 174956
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.6%)
	512	99.2%	(2.4%)
	1024	96.8%	(11%)
	2048	85.8%	(38.9%)
	4096	46.9%	(40.2%)
	8192	6.7%	(6.7%)
206000	mean = 54090.5	max = 176496
	256	100%	(0.3%)
	512	99.7%	(2.7%)
	1024	97%	(12.3%)
	2048	84.7%	(33.6%)
	4096	51.1%	(41.8%)
	8192	9.3%	(9.3%)
207000	mean = 56438.9	max = 168176
	256	100%	(0.5%)
	512	99.5%	(2.7%)
	1024	96.8%	(9.2%)
	2048	87.6%	(32.5%)
	4096	55.1%	(45.7%)
	8192	9.4%	(9.4%)
208000	mean = 52461	max = 157132
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(2%)
	1024	97.5%	(9.8%)
	2048	87.7%	(37.7%)
	4096	50%	(43.4%)
	8192	6.6%	(6.6%)
209000	mean = 53561.6	max = 154968
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.4%)
	512	99.2%	(2.7%)
	1024	96.5%	(8.3%)
	2048	88.2%	(37.4%)
	4096	50.8%	(42.9%)
	8192	7.9%	(7.9%)
210000	mean = 54545.3	max = 168916
	32	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.3%)
	512	99.3%	(2.6%)
	1024	96.7%	(8%)
	2048	88.7%	(37.6%)
	4096	51.1%	(42.1%)
	8192	9%	(9%)
211000	mean = 53477.8	max = 171212
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.7%)
	512	99.1%	(1.9%)
	1024	97.2%	(10.9%)
	2048	86.3%	(35.5%)
	4096	50.8%	(42.8%)
	8192	8%	(8%)
212000	mean = 54943.3	max = 167612
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(2.6%)
	1024	97.1%	(9.8%)
	2048	87.3%	(35.7%)
	4096	51.6%	(43%)
	8192	8.6%	(8.6%)
213000	mean = 54237.3	max = 150276
	128	100%	(0.2%)
	256	99.8%	(0.6%)
	512	99.2%	(2.1%)
	1024	97.1%	(9.4%)
	2048	87.7%	(36.7%)
	4096	51%	(41.8%)
	8192	9.2%	(9.2%)
214000	mean = 53715.9	max = 155272
	64	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(2%)
	1024	97.5%	(9.1%)
	2048	88.4%	(36.8%)
	4096	51.6%	(43.3%)
	8192	8.3%	(8.3%)
215000	mean = 54754.5	max = 172620
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(2.8%)
	1024	96.5%	(10.2%)
	2048	86.3%	(33.8%)
	4096	52.5%	(43.6%)
	8192	8.9%	(8.9%)
216000	mean = 53022.7	max = 167624
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.4%)
	512	99.3%	(3.2%)
	1024	96.1%	(9.7%)
	2048	86.4%	(35.7%)
	4096	50.7%	(43%)
	8192	7.7%	(7.7%)
217000	mean = 53581.5	max = 164972
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(2.5%)
	1024	96.8%	(9.1%)
	2048	87.7%	(37.1%)
	4096	50.6%	(41.8%)
	8192	8.8%	(8.8%)
218000	mean = 54588	max = 173532
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(1.6%)
	1024	97.9%	(10.3%)
	2048	87.6%	(36.4%)
	4096	51.2%	(42.6%)
	8192	8.6%	(8.6%)
219000	mean = 54510.9	max = 170788
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(2.6%)
	1024	96.7%	(9.3%)
	2048	87.4%	(36.1%)
	4096	51.3%	(42.9%)
	8192	8.4%	(8.4%)
220000	mean = 55935.6	max = 165264
	128	100%	(0.3%)
	256	99.7%	(0.3%)
	512	99.4%	(1.3%)
	1024	98.1%	(10.5%)
	2048	87.6%	(33.7%)
	4096	53.9%	(43.5%)
	8192	10.4%	(10.4%)
221000	mean = 55120.1	max = 161268
	32	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.8%)
	1024	97.8%	(11.1%)
	2048	86.7%	(33.1%)
	4096	53.6%	(44.9%)
	8192	8.7%	(8.7%)
222000	mean = 54562.8	max = 171512
	256	100%	(0.7%)
	512	99.3%	(2.8%)
	1024	96.5%	(7.7%)
	2048	88.8%	(38.2%)
	4096	50.6%	(41.9%)
	8192	8.7%	(8.7%)
223000	mean = 56270.1	max = 164224
	256	100%	(0.7%)
	512	99.3%	(1.7%)
	1024	97.6%	(8.7%)
	2048	88.9%	(33.9%)
	4096	55%	(46%)
	8192	9%	(9%)
224000	mean = 56149.1	max = 157232
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.1%)
	256	99.7%	(0.3%)
	512	99.4%	(3%)
	1024	96.4%	(8.2%)
	2048	88.2%	(34.7%)
	4096	53.5%	(43%)
	8192	10.5%	(10.5%)
225000	mean = 55611	max = 167516
	256	100%	(0.7%)
	512	99.3%	(2.7%)
	1024	96.6%	(8.2%)
	2048	88.4%	(32.8%)
	4096	55.6%	(46.4%)
	8192	9.2%	(9.2%)
226000	mean = 56335.1	max = 167044
	256	100%	(0.2%)
	512	99.8%	(1.4%)
	1024	98.4%	(9.7%)
	2048	88.7%	(34.4%)
	4096	54.3%	(45.7%)
	8192	8.6%	(8.6%)
227000	mean = 56122.9	max = 156024
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(2.3%)
	1024	97.2%	(8.7%)
	2048	88.5%	(35.1%)
	4096	53.4%	(42.9%)
	8192	10.5%	(10.5%)
228000	mean = 56272.6	max = 171216
	64	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.8%)
	1024	97.9%	(8.8%)
	2048	89.1%	(36.5%)
	4096	52.6%	(41.9%)
	8192	10.7%	(10.7%)
229000	mean = 54968	max = 177232
	128	100%	(0.1%)
	256	99.9%	(0.1%)
	512	99.8%	(2.1%)
	1024	97.7%	(9.3%)
	2048	88.4%	(36.1%)
	4096	52.3%	(43.4%)
	8192	8.9%	(8.9%)
230000	mean = 56382.1	max = 158292
	64	100%	(0.2%)
