<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 4191459678
	1024	77.9%	(41.7%)
	2048	36.2%	(34.6%)
	4096	1.6%	(1.6%)
129000	mean = 18382	max = 62000
	128	100%	(0.9%)
	256	99.1%	(6%)
	512	93.1%	(16.3%)
	1024	76.8%	(42.5%)
	2048	34.3%	(33.1%)
	4096	1.2%	(1.2%)
130000	mean = 18728.1	max = 65172
	64	100%	(0.3%)
	128	99.7%	(0.8%)
	256	98.9%	(6.1%)
	512	92.8%	(17.5%)
	1024	75.3%	(38.7%)
	2048	36.6%	(35%)
	4096	1.6%	(1.6%)
131000	mean = 19158.1	max = 66120
	128	100%	(1.5%)
	256	98.5%	(5.3%)
	512	93.2%	(15.5%)
	1024	77.7%	(41%)
	2048	36.7%	(34.8%)
	4096	1.9%	(1.9%)
132000	mean = 19163.9	max = 62340
	128	100%	(1%)
	256	99%	(4.5%)
	512	94.5%	(17.6%)
	1024	76.9%	(38.9%)
	2048	38%	(36.8%)
	4096	1.2%	(1.2%)
133000	mean = 18375.5	max = 75724
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(1.1%)
	256	98.6%	(6.2%)
	512	92.4%	(19.3%)
	1024	73.1%	(39%)
	2048	34.1%	(33.1%)
	4096	1%	(1%)
134000	mean = 19134.2	max = 70256
	64	100%	(0.4%)
	128	99.6%	(0.4%)
	256	99.2%	(6.1%)
	512	93.1%	(16.3%)
	1024	76.8%	(40.6%)
	2048	36.2%	(34.4%)
	4096	1.8%	(1.8%)
135000	mean = 18448.5	max = 69616
	64	100%	(0.2%)
	128	99.8%	(1.2%)
	256	98.6%	(6.4%)
	512	92.2%	(17.8%)
	1024	74.4%	(39.7%)
	2048	34.7%	(33.1%)
	4096	1.6%	(1.6%)
136000	mean = 19082.7	max = 63904
	128	100%	(1.2%)
	256	98.8%	(6.3%)
	512	92.5%	(14.7%)
	1024	77.8%	(40.4%)
	2048	37.4%	(36.2%)
	4096	1.2%	(1.2%)
137000	mean = 18978.3	max = 61508
	128	100%	(0.8%)
	256	99.2%	(5.7%)
	512	93.5%	(16.5%)
	1024	77%	(41%)
	2048	36%	(34.6%)
	4096	1.4%	(1.4%)
138000	mean = 19063.5	max = 64936
	128	100%	(1.3%)
	256	98.7%	(6.7%)
	512	92%	(16.2%)
	1024	75.8%	(38.1%)
	2048	37.7%	(36%)
	4096	1.7%	(1.7%)
139000	mean = 18944.4	max = 61812
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(4.3%)
	512	94.8%	(17.7%)
	1024	77.1%	(41.1%)
	2048	36%	(34.4%)
	4096	1.6%	(1.6%)
140000	mean = 19449.2	max = 59752
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(4.3%)
	512	95.1%	(18.8%)
	1024	76.3%	(36.6%)
	2048	39.7%	(37.9%)
	4096	1.8%	(1.8%)
141000	mean = 19501.4	max = 70752
	64	100%	(0.1%)
	128	99.9%	(1%)
	256	98.9%	(5.5%)
	512	93.4%	(15.8%)
	1024	77.6%	(39.1%)
	2048	38.5%	(37.1%)
	4096	1.4%	(1.4%)
142000	mean = 19257	max = 58904
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.7%)
	512	94.8%	(16.8%)
	1024	78%	(39.1%)
	2048	38.9%	(37.6%)
	4096	1.3%	(1.3%)
143000	mean = 19498.6	max = 60268
	128	100%	(0.8%)
	256	99.2%	(5.1%)
	512	94.1%	(17.4%)
	1024	76.7%	(38%)
	2048	38.7%	(36.5%)
	4096	2.2%	(2.2%)
144000	mean = 19402.9	max = 76084
	32	100%	(0.1%)
	64	99.9%	(0.3%)
	128	99.6%	(0.7%)
	256	98.9%	(5.2%)
	512	93.7%	(16.6%)
	1024	77.1%	(38.9%)
	2048	38.2%	(36.5%)
	4096	1.7%	(1.7%)
145000	mean = 19381.1	max = 58144
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(4.6%)
	512	94.6%	(18.1%)
	1024	76.5%	(39.3%)
	2048	37.2%	(35.2%)
	4096	2%	(2%)
146000	mean = 19722	max = 66588
	128	100%	(0.2%)
	256	99.8%	(4.7%)
	512	95.1%	(17.2%)
	1024	77.9%	(38.7%)
	2048	39.2%	(37.2%)
	4096	2%	(2%)
147000	mean = 19700.1	max = 74652
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(5%)
	512	94.3%	(16.6%)
	1024	77.7%	(38.6%)
	2048	39.1%	(37.1%)
	4096	2%	(2%)
148000	mean = 19440.6	max = 65432
	128	100%	(0.7%)
	256	99.3%	(5.9%)
	512	93.4%	(15.9%)
	1024	77.5%	(39.9%)
	2048	37.6%	(34.8%)
	4096	2.8%	(2.8%)
149000	mean = 18929.2	max = 65416
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(7.1%)
	512	92.2%	(18.3%)
	1024	73.9%	(36.5%)
	2048	37.4%	(35.8%)
	4096	1.6%	(1.6%)
150000	mean = 19731.5	max = 67088
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(5%)
	512	94.4%	(14.6%)
	1024	79.8%	(40.4%)
	2048	39.4%	(37.4%)
	4096	2%	(2%)
151000	mean = 19486	max = 59684
	64	100%	(0.3%)
	128	99.7%	(0.6%)
	256	99.1%	(6.3%)
	512	92.8%	(17.7%)
	1024	75.1%	(36.8%)
	2048	38.3%	(35.2%)
	4096	3.1%	(3.1%)
152000	mean = 19535.5	max = 60308
	128	100%	(0.7%)
	256	99.3%	(5.5%)
	512	93.8%	(17.2%)
	1024	76.6%	(37.7%)
	2048	38.9%	(37%)
	4096	1.9%	(1.9%)
153000	mean = 19568.7	max = 80152
	64	100%	(0.3%)
	128	99.7%	(0.4%)
	256	99.3%	(5.6%)
	512	93.7%	(16.8%)
	1024	76.9%	(37.2%)
	2048	39.7%	(37.8%)
	4096	1.9%	(1.9%)
154000	mean = 19746	max = 64204
	128	100%	(1.3%)
	256	98.7%	(5.7%)
	512	93%	(14.7%)
	1024	78.3%	(40.7%)
	2048	37.6%	(35.7%)
	4096	1.9%	(1.9%)
155000	mean = 20471.5	max = 64988
	128	100%	(1%)
	256	99%	(5.4%)
	512	93.6%	(15.1%)
	1024	78.5%	(35.7%)
	2048	42.8%	(40.2%)
	4096	2.6%	(2.6%)
156000	mean = 20377.2	max = 66444
	128	100%	(0.4%)
	256	99.6%	(5.4%)
	512	94.2%	(15%)
	1024	79.2%	(36.9%)
	2048	42.3%	(40.1%)
	4096	2.2%	(2.2%)
157000	mean = 19307.8	max = 76472
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(5.9%)
	512	93.2%	(16.5%)
	1024	76.7%	(39.3%)
	2048	37.4%	(35.8%)
	4096	1.6%	(1.6%)
158000	mean = 20272.5	max = 75172
	128	100%	(0.7%)
	256	99.3%	(4.9%)
	512	94.4%	(16.1%)
	1024	78.3%	(38%)
	2048	40.3%	(38.1%)
	4096	2.2%	(2.2%)
159000	mean = 19991.2	max = 59772
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(6.5%)
	512	93.1%	(15.6%)
	1024	77.5%	(36.1%)
	2048	41.4%	(38.9%)
	4096	2.5%	(2.5%)
160000	mean = 20270.7	max = 68188
	64	100%	(0.2%)
	128	99.8%	(1%)
	256	98.8%	(5.8%)
	512	93%	(15.3%)
	1024	77.7%	(35.4%)
	2048	42.3%	(39.4%)
	4096	2.9%	(2.9%)
161000	mean = 19922.8	max = 65796
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(6.3%)
	512	93.1%	(15.8%)
	1024	77.3%	(37.8%)
	2048	39.5%	(37.3%)
	4096	2.2%	(2.2%)
162000	mean = 20294.5	max = 69568
	128	100%	(0.3%)
	256	99.7%	(5.1%)
	512	94.6%	(16.2%)
	1024	78.4%	(37.8%)
	2048	40.6%	(37.9%)
	4096	2.7%	(2.7%)
163000	mean = 20177	max = 67560
	128	100%	(0.7%)
	256	99.3%	(5.4%)
	512	93.9%	(14.9%)
	1024	79%	(39%)
	2048	40%	(38%)
	4096	2%	(2%)
164000	mean = 19498.9	max = 66768
	32	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(5.6%)
	512	93.9%	(17.4%)
	1024	76.5%	(37.9%)
	2048	38.6%	(36.9%)
	4096	1.7%	(1.7%)
165000	mean = 20221.8	max = 70060
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(5.2%)
	512	93.9%	(14.5%)
	1024	79.4%	(38%)
	2048	41.4%	(39.2%)
	4096	2.2%	(2.2%)
166000	mean = 19916.4	max = 60120
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(5.6%)
	512	93.6%	(14.1%)
	1024	79.5%	(38.9%)
	2048	40.6%	(38.7%)
	4096	1.9%	(1.9%)
167000	mean = 20374.3	max = 65568
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(6%)
	512	93.4%	(16%)
	1024	77.4%	(35.9%)
	2048	41.5%	(39.2%)
	4096	2.3%	(2.3%)
168000	mean = 20110.1	max = 66448
	64	100%	(0.2%)
	128	99.8%	(1.2%)
	256	98.6%	(5.6%)
	512	93%	(15.8%)
	1024	77.2%	(37.5%)
	2048	39.7%	(37.1%)
	4096	2.6%	(2.6%)
169000	mean = 20392	max = 72364
	128	100%	(0.7%)
	256	99.3%	(5.3%)
	512	94%	(14.1%)
	1024	79.9%	(37.5%)
	2048	42.4%	(40.2%)
	4096	2.2%	(2.2%)
170000	mean = 20252.3	max = 63220
	128	100%	(0.8%)
	256	99.2%	(6.6%)
	512	92.6%	(13.4%)
	1024	79.2%	(37.6%)
	2048	41.6%	(39.4%)
	4096	2.2%	(2.2%)
171000	mean = 19833.8	max = 75828
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(7.8%)
	512	91.7%	(17.1%)
	1024	74.6%	(32.5%)
	2048	42.1%	(39.7%)
	4096	2.4%	(2.4%)
172000	mean = 20281.2	max = 69088
	128	100%	(0.3%)
	256	99.7%	(5.4%)
	512	94.3%	(16%)
	1024	78.3%	(37.5%)
	2048	40.8%	(38.6%)
	4096	2.2%	(2.2%)
173000	mean = 20214.7	max = 70024
	32	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.6%)
	512	94.9%	(14.9%)
	1024	80%	(40.4%)
	2048	39.6%	(37%)
	4096	2.6%	(2.6%)
174000	mean = 20118.4	max = 69324
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(5.7%)
	512	93.9%	(15.5%)
	1024	78.4%	(39.3%)
	2048	39.1%	(36.7%)
	4096	2.4%	(2.4%)
175000	mean = 20227.8	max = 60304
	64	100%	(0.3%)
	128	99.7%	(0.5%)
	256	99.2%	(6.3%)
	512	92.9%	(15.8%)
	1024	77.1%	(35%)
	2048	42.1%	(39.7%)
	4096	2.4%	(2.4%)
176000	mean = 20723.5	max = 69764
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(5.2%)
	512	94.3%	(15.6%)
	1024	78.7%	(35.9%)
	2048	42.8%	(40.4%)
	4096	2.4%	(2.4%)
177000	mean = 20816.7	max = 74576
	64	100%	(0.2%)
	128	99.8%	(0.9%)
	256	98.9%	(5%)
	512	93.9%	(16.3%)
	1024	77.6%	(35.1%)
	2048	42.5%	(39.7%)
	4096	2.8%	(2.8%)
178000	mean = 20487.3	max = 74060
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.4%)
	256	99.4%	(5.4%)
	512	94%	(16.3%)
	1024	77.7%	(36%)
	2048	41.7%	(39%)
	4096	2.7%	(2.7%)
179000	mean = 20614.1	max = 67872
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(4.3%)
	512	95.1%	(15.1%)
	1024	80%	(38.3%)
	2048	41.7%	(38.4%)
	4096	3.3%	(3.3%)
180000	mean = 20761	max = 71280
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.8%)
	512	94.7%	(16%)
	1024	78.7%	(36.5%)
	2048	42.2%	(39.6%)
	4096	2.6%	(2.6%)
181000	mean = 20620.1	max = 65828
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(4.8%)
	512	94.9%	(14.9%)
	1024	80%	(37.3%)
	2048	42.7%	(40.3%)
	4096	2.4%	(2.4%)
182000	mean = 20773.5	max = 71832
	128	100%	(0.9%)
	256	99.1%	(5%)
	512	94.1%	(14.3%)
	1024	79.8%	(36.7%)
	2048	43.1%	(40%)
	4096	3.1%	(3.1%)
183000	mean = 21280.7	max = 61912
	128	100%	(0.6%)
	256	99.4%	(4.3%)
	512	95.1%	(13.4%)
	1024	81.7%	(38.2%)
	2048	43.5%	(40.4%)
	4096	3.1%	(3.1%)
184000	mean = 20848.6	max = 65724
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(5.9%)
	512	93.3%	(13.7%)
	1024	79.6%	(36.5%)
	2048	43.1%	(39.7%)
	4096	3.4%	(3.4%)
185000	mean = 20525.5	max = 69112
	64	100%	(0.4%)
	128	99.6%	(0.5%)
	256	99.1%	(5.2%)
	512	93.9%	(14.8%)
	1024	79.1%	(36%)
	2048	43.1%	(40.7%)
	4096	2.4%	(2.4%)
186000	mean = 20556.6	max = 66604
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(6.3%)
	512	92.9%	(15.6%)
	1024	77.3%	(33.9%)
	2048	43.4%	(40.2%)
	4096	3.2%	(3.2%)
187000	mean = 20891.1	max = 67420
	64	100%	(0.3%)
	128	99.7%	(0.6%)
	256	99.1%	(5.9%)
	512	93.2%	(14.8%)
	1024	78.4%	(35%)
	2048	43.4%	(40.6%)
	4096	2.8%	(2.8%)
188000	mean = 20904.3	max = 70056
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(5.3%)
	512	93.9%	(13.5%)
	1024	80.4%	(36.3%)
	2048	44.1%	(41.7%)
	4096	2.4%	(2.4%)
189000	mean = 21586	max = 66312
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(4.8%)
	512	94.4%	(12.7%)
	1024	81.7%	(35.9%)
	2048	45.8%	(41.9%)
	4096	3.9%	(3.9%)
190000	mean = 20681.6	max = 79292
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(5.3%)
	512	93.7%	(15.2%)
	1024	78.5%	(36.6%)
	2048	41.9%	(38.5%)
	4096	3.4%	(3.4%)
191000	mean = 21673.2	max = 72736
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(5.1%)
	512	94.2%	(13.6%)
	1024	80.6%	(33.4%)
	2048	47.2%	(43.5%)
	4096	3.7%	(3.7%)
192000	mean = 21362.3	max = 77820
	32	100%	(0.1%)
	64	99.9%	(0.3%)
	128	99.6%	(0.7%)
	256	98.9%	(5.1%)
	512	93.8%	(13.6%)
	1024	80.2%	(35.4%)
	2048	44.8%	(41%)
	4096	3.8%	(3.8%)
193000	mean = 21032.9	max = 67636
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(5.5%)
	512	94%	(15%)
	1024	79%	(35.5%)
	2048	43.5%	(40.6%)
	4096	2.9%	(2.9%)
194000	mean = 21750.2	max = 70728
	128	100%	(0.4%)
	256	99.6%	(4.5%)
	512	95.1%	(13.8%)
	1024	81.3%	(34.3%)
	2048	47%	(43.6%)
	4096	3.4%	(3.4%)
195000	mean = 21508	max = 67572
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.3%)
	512	95.1%	(15%)
	1024	80.1%	(32.9%)
	2048	47.2%	(44%)
	4096	3.2%	(3.2%)
196000	mean = 21380.4	max = 69372
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(4.5%)
	512	94.5%	(14.1%)
	1024	80.4%	(35.4%)
	2048	45%	(42%)
	4096	3%	(3%)
197000	mean = 21228.8	max = 67228
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.9%)
	512	94.4%	(14.3%)
	1024	80.1%	(33.8%)
	2048	46.3%	(43.5%)
	4096	2.8%	(2.8%)
198000	mean = 20865.2	max = 71736
	64	100%	(0.3%)
	128	99.7%	(0.4%)
	256	99.3%	(5.8%)
	512	93.5%	(14.5%)
	1024	79%	(35.8%)
	2048	43.2%	(40.4%)
	4096	2.8%	(2.8%)
199000	mean = 22082.5	max = 62544
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(4%)
	512	95.1%	(12.1%)
	1024	83%	(36.5%)
	2048	46.5%	(42.9%)
	4096	3.6%	(3.6%)
200000	mean = 20997.4	max = 76808
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(5%)
	512	94.2%	(15.6%)
	1024	78.6%	(37.4%)
	2048	41.2%	(37.6%)
	4096	3.6%	(3.6%)
201000	mean = 21155	max = 60056
	128	100%	(0.7%)
	256	99.3%	(6%)
	512	93.3%	(13.3%)
	1024	80%	(35.6%)
	2048	44.4%	(41.8%)
	4096	2.6%	(2.6%)
202000	mean = 21133.7	max = 67504
	64	100%	(0.3%)
	128	99.7%	(0.7%)
	256	99%	(5.1%)
	512	93.9%	(15.8%)
	1024	78.1%	(33.2%)
	2048	44.9%	(42.1%)
	4096	2.8%	(2.8%)
203000	mean = 21111.6	max = 66104
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(5.1%)
	512	94.2%	(15.3%)
	1024	78.9%	(36.1%)
	2048	42.8%	(38.9%)
	4096	3.9%	(3.9%)
204000	mean = 21346.6	max = 71188
	64	100%	(0.2%)
	128	99.8%	(0.9%)
	256	98.9%	(5.4%)
	512	93.5%	(14.4%)
	1024	79.1%	(34.8%)
	2048	44.3%	(40.8%)
	4096	3.5%	(3.5%)
205000	mean = 21338.2	max = 71312
	32	100%	(0.1%)
	64	99.9%	(0.3%)
	128	99.6%	(0.3%)
	256	99.3%	(5.3%)
	512	94%	(13.9%)
	1024	80.1%	(36.1%)
	2048	44%	(41.1%)
	4096	2.9%	(2.9%)
206000	mean = 21422	max = 76772
	128	100%	(0.3%)
	256	99.7%	(4.2%)
	512	95.5%	(15.1%)
	1024	80.4%	(36.6%)
	2048	43.8%	(39.7%)
	4096	4.1%	(4.1%)
207000	mean = 21648.8	max = 72248
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(5.7%)
	512	93.8%	(13.1%)
	1024	80.7%	(34.7%)
	2048	46%	(42.3%)
	4096	3.7%	(3.7%)
208000	mean = 22054.3	max = 69804
	64	100%	(0.1%)
	128	99.9%	(1.1%)
	256	98.8%	(4.8%)
	512	94%	(12.1%)
	1024	81.9%	(34.4%)
	2048	47.5%	(43.4%)
	4096	4.1%	(4.1%)
209000	mean = 21112.4	max = 71852
	128	100%	(0.6%)
	256	99.4%	(5.9%)
	512	93.5%	(14.7%)
	1024	78.8%	(36.6%)
	2048	42.2%	(38.3%)
	4096	3.9%	(3.9%)
210000	mean = 21453.6	max = 67540
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(5.7%)
	512	93.6%	(14%)
	1024	79.6%	(34.3%)
	2048	45.3%	(41.7%)
	4096	3.6%	(3.6%)
211000	mean = 20998.9	max = 73108
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(6.3%)
	512	92.8%	(14.5%)
	1024	78.3%	(33.5%)
	2048	44.8%	(42.4%)
	4096	2.4%	(2.4%)
212000	mean = 21452.6	max = 61764
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.6%)
	512	95.9%	(14.3%)
	1024	81.6%	(35.7%)
	2048	45.9%	(43.3%)
	4096	2.6%	(2.6%)
213000	mean = 21353.5	max = 67844
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(4.7%)
	512	94.5%	(14.7%)
	1024	79.8%	(34.4%)
	2048	45.4%	(42.7%)
	4096	2.7%	(2.7%)
214000	mean = 22055.1	max = 70904
	64	100%	(0.2%)
	128	99.8%	(1%)
	256	98.8%	(4.9%)
	512	93.9%	(11%)
	1024	82.9%	(36.5%)
	2048	46.4%	(42.4%)
	4096	4%	(4%)
215000	mean = 21409	max = 62288
	128	100%	(0.9%)
	256	99.1%	(4.8%)
	512	94.3%	(14.7%)
	1024	79.6%	(34.1%)
	2048	45.5%	(42.6%)
	4096	2.9%	(2.9%)
216000	mean = 21395.4	max = 69308
	64	100%	(0.2%)
	128	99.8%	(1%)
	256	98.8%	(5.3%)
	512	93.5%	(12.8%)
	1024	80.7%	(34.3%)
	2048	46.4%	(43.1%)
	4096	3.3%	(3.3%)
217000	mean = 21781.6	max = 65460
	128	100%	(0.8%)
	256	99.2%	(5.6%)
	512	93.6%	(13.8%)
	1024	79.8%	(33.8%)
	2048	46%	(42.2%)
	4096	3.8%	(3.8%)
218000	mean = 21887.6	max = 69112
	64	100%	(0.5%)
	128	99.5%	(0.2%)
	256	99.3%	(4.7%)
	512	94.6%	(13.4%)
	1024	81.2%	(34%)
	2048	47.2%	(43.3%)
	4096	3.9%	(3.9%)
219000	mean = 21400	max = 74568
	128	100%	(0.4%)
	256	99.6%	(5.8%)
	512	93.8%	(15.3%)
	1024	78.5%	(33.3%)
	2048	45.2%	(41.2%)
	4096	4%	(4%)
220000	mean = 21928.7	max = 70972
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(4%)
	512	95.3%	(12.6%)
	1024	82.7%	(36.8%)
	2048	45.9%	(42.4%)
	4096	3.5%	(3.5%)
221000	mean = 22043.6	max = 71876
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(4.4%)
	512	95.1%	(13%)
	1024	82.1%	(35.3%)
	2048	46.8%	(42.5%)
	4096	4.3%	(4.3%)
222000	mean = 22093.9	max = 69116
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(4.6%)
	512	94.5%	(15%)
	1024	79.5%	(31.6%)
	2048	47.9%	(43.4%)
	4096	4.5%	(4.5%)
223000	mean = 22134.5	max = 71624
	64	100%	(0.4%)
	128	99.6%	(0.5%)
	256	99.1%	(4.6%)
	512	94.5%	(14.3%)
	1024	80.2%	(32.8%)
	2048	47.4%	(42.4%)
	4096	5%	(5%)
224000	mean = 22166.9	max = 72264
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(4.1%)
	512	95.1%	(12.1%)
	1024	83%	(36.6%)
	2048	46.4%	(41.8%)
	4096	4.6%	(4.6%)
225000	mean = 22443.7	max = 76744
	64	100%	(0.2%)
	128	99.8%	(0.9%)
	256	98.9%	(4.9%)
	512	94%	(12.5%)
	1024	81.5%	(33%)
	2048	48.5%	(44%)
	4096	4.5%	(4.5%)
226000	mean = 22288.8	max = 74292
	64	100%	(0.1%)
	128	99.9%	(1.1%)
	256	98.8%	(5.4%)
	512	93.4%	(12.4%)
	1024	81%	(32.7%)
	2048	48.3%	(44.2%)
	4096	4.1%	(4.1%)
227000	mean = 21888.6	max = 70404
	32	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(4.7%)
	512	94.3%	(12.5%)
	1024	81.8%	(34.9%)
	2048	46.9%	(42.8%)
	4096	4.1%	(4.1%)
228000	mean = 23007.7	max = 71400
	128	100%	(0.7%)
	256	99.3%	(4.5%)
	512	94.8%	(11.1%)
	1024	83.7%	(34.3%)
	2048	49.4%	(43.8%)
	4096	5.6%	(5.6%)
229000	mean = 22575.2	max = 75088
	128	100%	(0.7%)
	256	99.3%	(5.3%)
	512	94%	(11.8%)
	1024	82.2%	(33.6%)
	2048	48.6%	(43.8%)
	4096	4.8%	(4.8%)
230000	mean = 22652.1	max = 69100
	128	100%	(0.3%)
	256	99.7%	(5.6%)
	512	94.1%	(12.6%)
	1024	81.5%	(32%)
	2048	49.5%	(45.2%)
	4096	4.3%	(4.3%)
231000	mean = 21916.5	max = 74040
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(5.7%)
	512	93.7%	(13.9%)
	1024	79.8%	(31.7%)
	2048	48.1%	(44.6%)
	4096	3.5%	(3.5%)
232000	mean = 22521.2	max = 74856
	128	100%	(0.8%)
	256	99.2%	(4.2%)
	512	95%	(13.8%)
	1024	81.2%	(31.7%)
	2048	49.5%	(45.4%)
	4096	4.1%	(4.1%)
233000	mean = 22271	max = 69108
	128	100%	(0.8%)
	256	99.2%	(4.5%)
	512	94.7%	(13.8%)
	1024	80.9%	(32.7%)
	2048	48.2%	(44.6%)
	4096	3.6%	(3.6%)
234000	mean = 22046.6	max = 67608
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(5.4%)
	512	93.8%	(13.2%)
	1024	80.6%	(31.8%)
	2048	48.8%	(45.3%)
	4096	3.5%	(3.5%)
235000	mean = 22265.5	max = 71424
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(5.4%)
	512	94.2%	(13.9%)
	1024	80.3%	(33.5%)
	2048	46.8%	(41.7%)
	4096	5.1%	(5.1%)
236000	mean = 22679.2	max = 70828
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(4.3%)
	512	94.9%	(12.3%)
	1024	82.6%	(33.7%)
	2048	48.9%	(44.3%)
	4096	4.6%	(4.6%)
237000	mean = 22309	max = 80168
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.6%)
	512	94.8%	(13.5%)
	1024	81.3%	(32.7%)
	2048	48.6%	(44.6%)
	4096	4%	(4%)
238000	mean = 22095.4	max = 71304
	128	100%	(0.8%)
	256	99.2%	(4.7%)
	512	94.5%	(14.3%)
	1024	80.2%	(32.4%)
	2048	47.8%	(44.2%)
	4096	3.6%	(3.6%)
239000	mean = 22699.5	max = 78736
	128	100%	(0.7%)
	256	99.3%	(5%)
	512	94.3%	(12.3%)
	1024	82%	(35.7%)
	2048	46.3%	(41%)
	4096	5.3%	(5.3%)
240000	mean = 22365.8	max = 78320
	64	100%	(0.1%)
	128	99.9%	(1%)
	256	98.9%	(5.3%)
	512	93.6%	(12.4%)
	1024	81.2%	(31%)
	2048	50.2%	(46.8%)
	4096	3.4%	(3.4%)
241000	mean = 23062.3	max = 70820
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.5%)
	256	99.2%	(5%)
	512	94.2%	(12.1%)
	1024	82.1%	(31.9%)
	2048	50.2%	(45%)
	4096	5.2%	(5.2%)
242000	mean = 23085.5	max = 76116
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(4.2%)
	512	95.3%	(12.9%)
	1024	82.4%	(32.2%)
	2048	50.2%	(44%)
	4096	6.2%	(6.2%)
243000	mean = 22478.5	max = 69200
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.6%)
	512	94.9%	(14.4%)
	1024	80.5%	(32.5%)
	2048	48%	(43.4%)
	4096	4.6%	(4.6%)
244000	mean = 22411	max = 70104
	128	100%	(0.8%)
	256	99.2%	(4.7%)
	512	94.5%	(13.4%)
	1024	81.1%	(33.1%)
	2048	48%	(43.4%)
	4096	4.6%	(4.6%)
245000	mean = 22299.3	max = 78272
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(6.7%)
	512	92.8%	(12.2%)
	1024	80.6%	(33.8%)
	2048	46.8%	(41.6%)
	4096	5.2%	(5.2%)
246000	mean = 23007.6	max = 78320
	128	100%	(0.3%)
	256	99.7%	(5%)
	512	94.7%	(13%)
	1024	81.7%	(31.2%)
	2048	50.5%	(45.7%)
